Journee;Date de fin de la journee;Date de debut de la journee;Equipe a domicile;Equipe a l'exterieur;Buts domicile;Buts exterieur
5;2017-09-10;2017-09-08;Olympique de Marseille;Stade Rennais Football Club;1;3
10;2017-10-22;2017-10-20;Angers SCO;Toulouse Football Club;0;1
12;2017-11-05;2017-11-03;FC Nantes;Toulouse Football Club;2;1
3;2017-08-20;2017-08-18;Olympique Lyonnais;FC Girondins de Bordeaux;3;3
16;2017-12-03;2017-12-01;LOSC;Toulouse Football Club;1;0
25;2018-02-11;2018-02-09;Angers SCO;AS Monaco;0;4
26;2018-02-18;2018-02-16;Stade Malherbe Caen;Stade Rennais Football Club;2;2
22;2018-01-21;2018-01-19;Montpellier Heraut SC;Toulouse Football Club;2;1
30;2018-03-18;2018-03-16;Olympique de Marseille;Olympique Lyonnais;2;3
17;2017-12-10;2017-12-08;Olympique de Marseille;AS Saint-etienne;3;0
9;2017-10-15;2017-10-13;AS Saint-etienne;Football Club de Metz;3;1
33;2018-04-25;2018-04-13;LOSC;En Avant de Guingamp;2;2
33;2018-04-25;2018-04-13;Paris SG;AS Monaco;7;1
23;2018-01-28;2018-01-26;Toulouse Football Club;Esperance Sportive Troyes Aube Champagne;1;0
24;2018-02-20;2018-02-02;Racing Club Strasbourg Alsace;FC Girondins de Bordeaux;0;2
29;2018-03-11;2018-03-09;Dijon Football Côte d'Or;Amiens SC;1;1
21;2018-01-17;2018-01-16;Toulouse Football Club;FC Nantes;1;1
28;2018-03-04;2018-03-02;Olympique de Marseille;FC Nantes;1;1
27;2018-02-25;2018-02-23;Paris SG;Olympique de Marseille;3;0
7;2017-09-24;2017-09-22;OGC Nice;Angers SCO;2;2
17;2017-12-10;2017-12-08;AS Monaco;Esperance Sportive Troyes Aube Champagne;3;2
14;2017-11-26;2017-11-24;AS Saint-etienne;Racing Club Strasbourg Alsace;2;2
18;2017-12-17;2017-12-15;FC Nantes;Angers SCO;1;0
20;2018-01-14;2018-01-12;Esperance Sportive Troyes Aube Champagne;FC Girondins de Bordeaux;0;1
26;2018-02-18;2018-02-16;Olympique de Marseille;FC Girondins de Bordeaux;1;0
19;2017-12-20;2017-12-20;Paris SG;Stade Malherbe Caen;3;1
12;2017-11-05;2017-11-03;Football Club de Metz;LOSC;0;3
13;2017-11-19;2017-11-17;Paris SG;FC Nantes;4;1
4;2017-08-27;2017-08-25;FC Nantes;Olympique Lyonnais;0;0
1;2017-08-06;2017-08-04;Olympique Lyonnais;Racing Club Strasbourg Alsace;4;0
31;2018-04-04;2018-03-14;Esperance Sportive Troyes Aube Champagne;OGC Nice;0;2
38;2018-05-19;2018-05-19;Esperance Sportive Troyes Aube Champagne;AS Monaco;0;3
37;2018-05-12;2018-05-11;En Avant de Guingamp;Olympique de Marseille;3;3
30;2018-03-18;2018-03-16;AS Saint-etienne;En Avant de Guingamp;2;0
32;2018-04-08;2018-04-06;FC Girondins de Bordeaux;LOSC;2;1
7;2017-09-24;2017-09-22;Racing Club Strasbourg Alsace;FC Nantes;1;2
20;2018-01-14;2018-01-12;Racing Club Strasbourg Alsace;En Avant de Guingamp;0;2
20;2018-01-14;2018-01-12;OGC Nice;Amiens SC;1;0
6;2017-09-17;2017-09-15;Stade Rennais Football Club;OGC Nice;0;1
18;2017-12-17;2017-12-15;OGC Nice;FC Girondins de Bordeaux;1;0
12;2017-11-05;2017-11-03;AS Monaco;En Avant de Guingamp;6;0
19;2017-12-20;2017-12-20;Amiens SC;FC Nantes;0;1
37;2018-05-12;2018-05-11;FC Girondins de Bordeaux;Toulouse Football Club;4;2
37;2018-05-12;2018-05-11;Montpellier Heraut SC;Esperance Sportive Troyes Aube Champagne;1;1
6;2017-09-17;2017-09-15;Toulouse Football Club;FC Girondins de Bordeaux;0;1
7;2017-09-24;2017-09-22;Olympique Lyonnais;Dijon Football Côte d'Or;3;3
9;2017-10-15;2017-10-13;LOSC;Esperance Sportive Troyes Aube Champagne;2;2
15;2017-11-29;2017-11-28;Toulouse Football Club;OGC Nice;1;2
5;2017-09-10;2017-09-08;Football Club de Metz;Paris SG;1;5
24;2018-02-20;2018-02-02;Stade Malherbe Caen;FC Nantes;3;2
17;2017-12-10;2017-12-08;Amiens SC;Olympique Lyonnais;1;2
25;2018-02-11;2018-02-09;Football Club de Metz;Montpellier Heraut SC;0;1
27;2018-02-25;2018-02-23;Racing Club Strasbourg Alsace;Montpellier Heraut SC;0;0
28;2018-03-04;2018-03-02;Esperance Sportive Troyes Aube Champagne;Paris SG;0;2
33;2018-04-25;2018-04-13;Angers SCO;OGC Nice;1;1
28;2018-03-04;2018-03-02;AS Monaco;FC Girondins de Bordeaux;2;1
34;2018-04-22;2018-04-20;FC Girondins de Bordeaux;Paris SG;0;1
21;2018-01-17;2018-01-16;Amiens SC;Montpellier Heraut SC;1;1
30;2018-03-18;2018-03-16;Football Club de Metz;FC Nantes;1;1
22;2018-01-21;2018-01-19;OGC Nice;AS Saint-etienne;1;0
26;2018-02-18;2018-02-16;OGC Nice;FC Nantes;1;1
15;2017-11-29;2017-11-28;Racing Club Strasbourg Alsace;Stade Malherbe Caen;0;0
15;2017-11-29;2017-11-28;Football Club de Metz;Olympique de Marseille;0;3
22;2018-01-21;2018-01-19;FC Nantes;FC Girondins de Bordeaux;0;1
22;2018-01-21;2018-01-19;Amiens SC;En Avant de Guingamp;3;1
5;2017-09-10;2017-09-08;Esperance Sportive Troyes Aube Champagne;Toulouse Football Club;0;0
3;2017-08-20;2017-08-18;Esperance Sportive Troyes Aube Champagne;FC Nantes;0;1
13;2017-11-19;2017-11-17;FC Girondins de Bordeaux;Olympique de Marseille;1;1
21;2018-01-17;2018-01-16;En Avant de Guingamp;Olympique Lyonnais;0;2
23;2018-01-28;2018-01-26;Olympique de Marseille;AS Monaco;2;2
7;2017-09-24;2017-09-22;Montpellier Heraut SC;Paris SG;0;0
6;2017-09-17;2017-09-15;Paris SG;Olympique Lyonnais;2;0
35;2018-04-29;2018-04-27;Olympique Lyonnais;FC Nantes;2;0
35;2018-04-29;2018-04-27;Stade Rennais Football Club;Toulouse Football Club;2;1
36;2018-05-06;2018-05-04;Stade Rennais Football Club;Racing Club Strasbourg Alsace;2;1
27;2018-02-25;2018-02-23;Toulouse Football Club;AS Monaco;3;3
33;2018-04-25;2018-04-13;Olympique Lyonnais;Amiens SC;3;0
16;2017-12-03;2017-12-01;AS Saint-etienne;FC Nantes;1;1
16;2017-12-03;2017-12-01;Stade Malherbe Caen;Olympique Lyonnais;1;2
27;2018-02-25;2018-02-23;Stade Rennais Football Club;Esperance Sportive Troyes Aube Champagne;2;0
23;2018-01-28;2018-01-26;Dijon Football Côte d'Or;Stade Rennais Football Club;2;1
18;2017-12-17;2017-12-15;Racing Club Strasbourg Alsace;Toulouse Football Club;2;1
15;2017-11-29;2017-11-28;FC Girondins de Bordeaux;AS Saint-etienne;3;0
26;2018-02-18;2018-02-16;Amiens SC;Toulouse Football Club;0;0
10;2017-10-22;2017-10-20;Esperance Sportive Troyes Aube Champagne;Olympique Lyonnais;0;5
14;2017-11-26;2017-11-24;Esperance Sportive Troyes Aube Champagne;Angers SCO;3;0
3;2017-08-20;2017-08-18;Olympique de Marseille;Angers SCO;1;1
32;2018-04-08;2018-04-06;Toulouse Football Club;Dijon Football Côte d'Or;0;1
35;2018-04-29;2018-04-27;Paris SG;En Avant de Guingamp;2;2
4;2017-08-27;2017-08-25;FC Girondins de Bordeaux;Esperance Sportive Troyes Aube Champagne;2;1
18;2017-12-17;2017-12-15;Olympique Lyonnais;Olympique de Marseille;2;0
15;2017-11-29;2017-11-28;Angers SCO;Stade Rennais Football Club;1;2
10;2017-10-22;2017-10-20;Amiens SC;FC Girondins de Bordeaux;1;0
25;2018-02-11;2018-02-09;Dijon Football Côte d'Or;OGC Nice;3;2
23;2018-01-28;2018-01-26;Angers SCO;Amiens SC;1;0
34;2018-04-22;2018-04-20;Olympique de Marseille;LOSC;5;1
34;2018-04-22;2018-04-20;AS Saint-etienne;Esperance Sportive Troyes Aube Champagne;2;1
27;2018-02-25;2018-02-23;En Avant de Guingamp;Football Club de Metz;2;2
27;2018-02-25;2018-02-23;Olympique Lyonnais;AS Saint-etienne;1;1
36;2018-05-06;2018-05-04;AS Saint-etienne;FC Girondins de Bordeaux;1;3
26;2018-02-18;2018-02-16;AS Monaco;Dijon Football Côte d'Or;4;0
1;2017-08-06;2017-08-04;AS Monaco;Toulouse Football Club;3;2
1;2017-08-06;2017-08-04;LOSC;FC Nantes;3;0
37;2018-05-12;2018-05-11;Angers SCO;FC Nantes;0;2
37;2018-05-12;2018-05-11;Paris SG;Stade Rennais Football Club;0;2
36;2018-05-06;2018-05-04;Toulouse Football Club;LOSC;2;3
36;2018-05-06;2018-05-04;Stade Malherbe Caen;AS Monaco;1;2
25;2018-02-11;2018-02-09;Olympique Lyonnais;Stade Rennais Football Club;0;2
17;2017-12-10;2017-12-08;FC Girondins de Bordeaux;Racing Club Strasbourg Alsace;0;3
34;2018-04-22;2018-04-20;Amiens SC;Racing Club Strasbourg Alsace;3;1
14;2017-11-26;2017-11-24;Montpellier Heraut SC;LOSC;3;0
28;2018-03-04;2018-03-02;OGC Nice;LOSC;2;1
24;2018-02-20;2018-02-02;LOSC;Paris SG;0;3
2;2017-08-13;2017-08-11;Stade Rennais Football Club;Olympique Lyonnais;1;2
1;2017-08-06;2017-08-04;AS Saint-etienne;OGC Nice;1;0
5;2017-09-10;2017-09-08;LOSC;FC Girondins de Bordeaux;0;0
5;2017-09-10;2017-09-08;AS Saint-etienne;Angers SCO;1;1
5;2017-09-10;2017-09-08;Olympique Lyonnais;En Avant de Guingamp;2;1
9;2017-10-15;2017-10-13;Olympique Lyonnais;AS Monaco;3;2
9;2017-10-15;2017-10-13;En Avant de Guingamp;Stade Rennais Football Club;2;0
6;2017-09-17;2017-09-15;Dijon Football Côte d'Or;AS Saint-etienne;0;1
13;2017-11-19;2017-11-17;En Avant de Guingamp;Angers SCO;1;1
4;2017-08-27;2017-08-25;Angers SCO;LOSC;1;1
4;2017-08-27;2017-08-25;AS Monaco;Olympique de Marseille;6;1
31;2018-04-04;2018-03-14;Stade Malherbe Caen;Montpellier Heraut SC;1;3
31;2018-04-04;2018-03-14;Racing Club Strasbourg Alsace;Football Club de Metz;2;2
24;2018-02-20;2018-02-02;OGC Nice;Toulouse Football Club;0;1
24;2018-02-20;2018-02-02;Montpellier Heraut SC;Angers SCO;2;1
32;2018-04-08;2018-04-06;OGC Nice;Stade Rennais Football Club;1;1
37;2018-05-12;2018-05-11;LOSC;Dijon Football Côte d'Or;2;1
30;2018-03-18;2018-03-16;AS Monaco;LOSC;2;1
7;2017-09-24;2017-09-22;LOSC;AS Monaco;0;4
12;2017-11-05;2017-11-03;Montpellier Heraut SC;Amiens SC;1;1
12;2017-11-05;2017-11-03;AS Saint-etienne;Olympique Lyonnais;0;5
25;2018-02-11;2018-02-09;AS Saint-etienne;Olympique de Marseille;2;2
8;2017-11-20;2017-09-29;FC Nantes;Football Club de Metz;1;0
32;2018-04-08;2018-04-06;Olympique de Marseille;Montpellier Heraut SC;0;0
29;2018-03-11;2018-03-09;Olympique Lyonnais;Stade Malherbe Caen;1;0
38;2018-05-19;2018-05-19;Dijon Football Côte d'Or;Angers SCO;2;1
8;2017-11-20;2017-09-29;En Avant de Guingamp;Toulouse Football Club;1;1
11;2017-10-29;2017-10-27;Montpellier Heraut SC;Stade Rennais Football Club;0;1
36;2018-05-06;2018-05-04;Amiens SC;Paris SG;2;2
26;2018-02-18;2018-02-16;Esperance Sportive Troyes Aube Champagne;Football Club de Metz;1;0
28;2018-03-04;2018-03-02;Amiens SC;Stade Rennais Football Club;0;2
16;2017-12-03;2017-12-01;Stade Rennais Football Club;Amiens SC;2;0
25;2018-02-11;2018-02-09;FC Girondins de Bordeaux;Amiens SC;3;2
23;2018-01-28;2018-01-26;Paris SG;Montpellier Heraut SC;4;0
11;2017-10-29;2017-10-27;Paris SG;OGC Nice;3;0
11;2017-10-29;2017-10-27;Racing Club Strasbourg Alsace;Angers SCO;2;2
12;2017-11-05;2017-11-03;Esperance Sportive Troyes Aube Champagne;Racing Club Strasbourg Alsace;3;0
3;2017-08-20;2017-08-18;Paris SG;Toulouse Football Club;6;2
15;2017-11-29;2017-11-28;FC Nantes;AS Monaco;1;0
1;2017-08-06;2017-08-04;Paris SG;Amiens SC;2;0
33;2018-04-25;2018-04-13;Stade Rennais Football Club;Football Club de Metz;1;2
36;2018-05-06;2018-05-04;Dijon Football Côte d'Or;En Avant de Guingamp;3;1
31;2018-04-04;2018-03-14;En Avant de Guingamp;FC Girondins de Bordeaux;2;1
34;2018-04-22;2018-04-20;Football Club de Metz;Stade Malherbe Caen;1;1
4;2017-08-27;2017-08-25;Toulouse Football Club;Stade Rennais Football Club;3;2
2;2017-08-13;2017-08-11;FC Nantes;Olympique de Marseille;0;1
2;2017-08-13;2017-08-11;En Avant de Guingamp;Paris SG;0;3
