Journee;Date de fin de la journee;Date de debut de la journee;Equipe a domicile;Equipe a l'exterieur;Buts domicile;Buts exterieur
28;2018-03-04;2018-03-02;Football Club de Metz;Toulouse Football Club;1;1
28;2018-03-04;2018-03-02;Angers SCO;En Avant de Guingamp;3;0
34;2018-04-22;2018-04-20;Dijon Football Côte d'Or;Olympique Lyonnais;2;5
33;2018-04-25;2018-04-13;Stade Malherbe Caen;Toulouse Football Club;0;0
21;2018-01-17;2018-01-16;Paris SG;Dijon Football Côte d'Or;8;0
20;2018-01-14;2018-01-12;Montpellier Heraut SC;AS Monaco;0;0
33;2018-04-25;2018-04-13;Racing Club Strasbourg Alsace;AS Saint-etienne;0;1
31;2018-04-04;2018-03-14;Olympique Lyonnais;Toulouse Football Club;2;0
38;2018-05-19;2018-05-19;Olympique Lyonnais;OGC Nice;3;2
24;2018-02-20;2018-02-02;Olympique de Marseille;Football Club de Metz;6;3
24;2018-02-20;2018-02-02;Amiens SC;AS Saint-etienne;0;2
26;2018-02-18;2018-02-16;Angers SCO;AS Saint-etienne;0;1
26;2018-02-18;2018-02-16;Montpellier Heraut SC;En Avant de Guingamp;1;1
19;2017-12-20;2017-12-20;Olympique de Marseille;Esperance Sportive Troyes Aube Champagne;3;1
17;2017-12-10;2017-12-08;FC Nantes;OGC Nice;1;2
6;2017-09-17;2017-09-15;Amiens SC;Olympique de Marseille;0;2
10;2017-10-22;2017-10-20;AS Monaco;Stade Malherbe Caen;2;0
2;2017-08-13;2017-08-11;OGC Nice;Esperance Sportive Troyes Aube Champagne;1;2
33;2018-04-25;2018-04-13;Esperance Sportive Troyes Aube Champagne;Olympique de Marseille;2;3
37;2018-05-12;2018-05-11;OGC Nice;Stade Malherbe Caen;4;1
12;2017-11-05;2017-11-03;Angers SCO;Paris SG;0;5
27;2018-02-25;2018-02-23;LOSC;Angers SCO;1;2
25;2018-02-11;2018-02-09;En Avant de Guingamp;Stade Malherbe Caen;0;0
25;2018-02-11;2018-02-09;FC Nantes;LOSC;2;2
35;2018-04-29;2018-04-27;FC Girondins de Bordeaux;Dijon Football Côte d'Or;3;1
37;2018-05-12;2018-05-11;Racing Club Strasbourg Alsace;Olympique Lyonnais;3;2
13;2017-11-19;2017-11-17;Olympique Lyonnais;Montpellier Heraut SC;0;0
12;2017-11-05;2017-11-03;OGC Nice;Dijon Football Côte d'Or;1;0
14;2017-11-26;2017-11-24;OGC Nice;Olympique Lyonnais;0;5
